config                      mean    easy  medium    hard    worst   d(base)     se      t  bankrupt
-----------------------------------------------------------------------------------------------------
baseline                     8.8    18.8     6.4     1.2    -23.9      0.00   0.00   0.00     0/72  
wide 0.035                   8.9    19.3     5.6     1.7    -24.6      0.09   0.64   0.14     0/72  
narrow 0.012                 8.3    16.8     5.7     2.3    -22.6     -0.53   0.42  -1.24     0/72  
unc x1.0                     7.1    17.8     4.6    -1.3    -50.1     -1.74   1.19  -1.46     0/72  
unc x0.7                     6.3    18.1     2.4    -1.7    -58.1     -2.53   2.75  -0.92     0/72  
unc x1.0 + narrow            7.4    17.3     4.2     0.8    -39.3     -1.35   1.67  -0.81     0/72  
small size 8                 7.6    15.3     5.7     1.8    -24.8     -1.17   0.40  -2.90     0/72  
fok heavy                    9.3    19.4     6.9     1.5    -23.9      0.50   0.27   1.88     0/72  
small + fok heavy            8.1    16.0     6.2     2.1    -24.8     -0.69   0.45  -1.54     0/72  
round2 winner                8.4    16.3     5.6     3.2    -12.4     -0.41   0.84  -0.49     0/72  
r2 winner, unc x1.0          8.0    18.8     4.8     0.5    -23.9     -0.74   0.65  -1.15     0/72  
r2 winner, base 0.020        8.2    16.4     5.8     2.4    -12.8     -0.59   0.72  -0.82     0/72  
skew only                    8.9    18.9     5.7     2.2    -21.3      0.13   0.57   0.23     0/72  
